Message	,	Team
"ADDITIONAL COMMENTS - Hi Team
For the employee ‏‏‎‏‏‎Ibrahim ‏‏‎‏‏‎‎Jamal (workday ID 101232509) DataHub is receiving the First Name prefixed with additional characters, the additional characters are not visible in Workday Legal or Preferred Name

DataHub received the First name of employee is prefixed with ??????.

Could you please review and advise?"	,	HCM
"ADDITIONAL COMMENTS - Hi Team,
could you please exchange the existing Onboarding Checkist for Switzerland in the Review Documents for Onboarding Step? The new file attached.
Best regards
Olga"	,	HCM
"ADDITIONAL COMMENTS - Requesting EIB file (if any) for the deactivation of Matrix Organization
Deactivate the matrix Organization: Career Coach - SDC-PHL (Kimberly Mae Velasco)
Organization_Reference_ID: MATRIX_ORGANIZATION-3-189273"	,	HCM
"ADDITIONAL COMMENTS - Hi
France needs to have the last version for the EIB to assign establishment. Can you give me it ? Thanks. Nathalie"	,	HCM
"ADDITIONAL COMMENTS - Good afternoon. We are currently going on a drive in our territory to ensure all our staff members update their basic personal profile details. Upon testing before sending out an official communication, we noticed the below : 

Changing Marital Status : When trying to submit a change in marital status,  a red error appears saying 'change to marital status requires evidence'. Can we remove any requirements in relation to such documentation? 

Mandatory Fields: Can you confirm if these fields are mandatory as they currently don't have a red mark indicating so ? 
Personal information:
- Date of birth
- Marital status
- Nationality
Contact information:
- Personal address
- Primary phone (personal)"	,	HCM
"ADDITIONAL COMMENTS - HI Team,

Please Inactivate the organization 1401622 as when we are deactivating the organization it is giving the error as task is pending but i can see no task is pending . Please help updating the EIB. Attached.

Regards,

Geetanshu"	,	HCM
"ADDITIONAL COMMENTS - I can leverage EIB to remove ONE period plan but I could not leverage EIB to remove TWO allowance Plans.  You may check the workers in Trial 1 file in Sandbox, their Period plan has been removed but the allowance plans are still there.  I tried select other workers to make second attempt (Trial 2 file) and the whole transfer become In Progress.
Please advise how to complete Compensation tab to remove TWO allowance plans."	,	HCM
"ADDITIONAL COMMENTS - Hi Team,
Please help delete the following prehire records. Thank you.

A0000510424
A0000507876"	,	HCM
"ADDITIONAL COMMENTS - hi team
Company ""Galaxy Belgium OpCo"" (e53a56fc-7c1b-49d2-a2c1-2219c6cc4922) is changing names to ""Vialto Partners Belgium bv""
Can this be adapted in Workday?
Does this have any impact on the reference ID and downstream systems that we should be aware of?
thanks!"	,	HCM
"ADDITIONAL COMMENTS - Please amend the list with CHE-Plan A Conulting GmbH
Thank you"	,	HCM
"ADDITIONAL COMMENTS - Hi all, 

with reference to ticket RITM8238460 we’d like to ask if you could design a validation (hard stop with an error note) that would prevent workers from adding/changing their work phone details. Below you'll find all necessary information.

Thanks in advance and best regards
Alina

1. What is the business case / justification for the changes being requested?
a) We have an automatic webservice providing business phones numbers from our SAP directory into Workday directly , hence no need for manual updates by the worker and
b) We’ve seen several cases in which employees used the work contact details to provide their private phone numbers as well which is against GDPR regulations.

2. Is the change legally required? If so, you will need to provide legal documentation to support the legal requirement (e.g. email from local OGC, legislation etc.)

> There should be no possibility for a worker to provide personal data which isn’t required by process or business need. (principal of data minimisation / GDPR)
Legal requirement:
“1 lit. c GDPR: ""Personal data must be appropriate and relevant to the purpose and limited to what is necessary for the purposes of processing (""data minimization""). Data economy and data minimization are therefore closely related to the earmarking of data.”

3. What are the risks / impacts if changes aren't approved?

> Holding false or unnecessary personal data within our leading HC system which is not in alignment with GDPR regulatories. 

4. Do you need this validation to be implemented for both employees and contingent workers? Meaning, the validation saying it is not possible to add/change work phone would appear for both worker types.

> The validation should be implemented for employees and contingent workers.

5. Do you wish to implement a validation for 'Primary Work Phone' and 'Additional Work Phone' or only for one of the fields?

> We’d like to have the validation for both fields ('Primary Work Phone' and 'Additional Work Phone')."	,	HCM
ADDITIONAL COMMENTS - The coachees listed under Kushan Liyanaarachchi (815019d6-799a-4a2d-9da3-8ae9d7313255) does not show Kushan Liyanaarachchi as their Matrix Manager.  Please refer attached.  However when extracting the members listed under FJI Career Coach (Kushan Liyana Arachchilage) it shows 7 members listed as attached.  Please assist on how to correct this.	,	HCM
"ADDITIONAL COMMENTS - Hi Team,

Could you indicate if there is a way to correct an error made into the ""Given Name "" when the worker is already hired?
On this user  101219848, it seems there are multiple name with "","" is there a way for us or a security role to correct this kind of error?

This worker name is just : Camille ORTIZ
Screenshot attached

I've tried to do it by cancel the task (SBX) or reassign it (pwc14), it didn't work

This may cause error into work email address

Thank you in advance
Doris"	,	HCM
ADDITIONAL COMMENTS - Add new cost center >> completed upload in ORD	,	HCM
"ADDITIONAL COMMENTS - Hi Team,

Hope you are well. 

We would like to add around 200 active contractors to WD, without triggering the IT process (email, GUID and laptop issuance). Those contractors are active and joined PWC either recently or less than a year ago. 
Please note that the number is increasing, we are receiving such cases on a weekly basis and we need to start accounting for them in WD.

Could you please advise what is the best process considering we do not want IT things to be triggered?

Thanks
Gabi"	,	HCM
ADDITIONAL COMMENTS - Add new cost center >> completed upload in ORD	,	HCM
